,link_fixing_commit,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,fixing_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
26,https://github.com/ukanth/afwall/commit/8c1f2d218f6d5fbe1a730260378a1130b3cccc7e,android,11,1108,26108a62,b091f7ac,8c1f2d21,2016-07-18T02:03:36Z,39,548,58,490,495.2710843,11,307.0481928,5.5,254,56,198,Java,30973,11,1366
27,https://github.com/federicoiosue/Omni-Notes/commit/a7494b53c751f20d369a8b43c7e094e7bd52a4dc,android,12,133,71a83ca9,823fe36e,a7494b53,2014-06-26T21:25:44Z,50,12,1,11,568.7007299,44,489.2810219,22.5,41,18,23,Java,24558,1,242
28,https://github.com/antennapod/AntennaPod/commit/a66580bfc62630076abbcb25674016d1f930d6dc,android,1,1,b7f9d066,b7f9d066,a66580bf,2012-06-25T11:22:26Z,0,0,0,0,1121.849206,265.5,872.9391534,122,18,4,14,Java,5051,3,190
29,https://github.com/osmandapp/Osmand/commit/050a0039573c63393678be3d9fff3f8fa780f36d,android,0,166,ccdb7294f5,93098a731f,050a003957,2011-10-19T16:08:53Z,0,99,0,99,7536.731884,3628.5,5959.543478,1974,159,74,85,Java,123460,38,542
30,https://github.com/tomahawk-player/tomahawk-android/commit/69c2c2f7b7ebdb114c9a011ae41a0c18fc019d7b,android,4,4,883d2105,883d2105,69c2c2f7,2012-07-29T15:02:05Z,0,0,0,0,842.6836461,12,666.152815,0,8,2,6,Java,2538,3,21
31,https://github.com/ccrama/Slide/commit/06868961af0a18b6b9acf55a38bc0987637359e0,android,0,154,f1fe71ad,05569a3e,6868961,2016-03-04T00:03:30Z,26,1138,3,1135,1383.602151,77,850.0268817,40.5,81,28,53,Java,54052,36,159
32,https://github.com/Antox/Antox/commit/c8d98a5933de97dedc7e2ed55e726ca4da39f8af,android,0,163,253d8b43,70696cf2,c8d98a59,2014-08-10T09:27:59Z,4,0,0,0,342.1348315,0,267.411985,0,104,50,54,Scala,8924,46,196
33,https://github.com/WhisperSystems/Signal-Android/commit/3bac3c62632da246ee1a82d329d8ae5bf37b629e,android,222,222,1d0c9536f,1d0c9536f,3bac3c626,2015-07-22T19:24:41Z,118,3745,2,3743,5253.577982,1048.5,4611.655963,415.5,2,1,1,Java,82423,29,1312
34,https://github.com/antennapod/AntennaPod/commit/85ace6fb0180940450075990b35bbff6edf52184,android,81,380,c37b6717,ad583e45,85ace6fb,2015-04-18T20:12:39Z,50,757,28,729,732.4655172,134.5,598.5862069,81,49,30,19,Java,52374,47,1217
35,https://github.com/ccrama/Slide/commit/a2818a577fb3c5205349e59b54b906a705eeb38c,android,3,12,0514126e,8ea8604e,a2818a57,2016-02-12T18:38:22Z,23,974,2,972,1484.830688,98,918.1005291,44,13,7,6,Java,47643,32,138
36,https://github.com/anthonycr/Lightning-Browser/commit/f70d889c03fba8f86c67a0bc2963145d2687fb99,android,3,34,8bead204,eecf5be2,f70d889c,2014-06-02T14:56:20Z,0,83,2,81,1459.108303,93,1231.263538,39,303,19,284,Kotlin,10675,26,477
37,https://github.com/brave/browser-android/commit/9e3726eb1807fe384b0c3ba6c1ad1fae7cdf2945,android,67,68,24cb6617,cc1d1347,9e3726eb,2014-03-26T10:56:05Z,4,441,18,423,635.2125436,0,603.6898955,0,12,2,10,Java,49804,2,332
38,https://github.com/WhisperSystems/Signal-Android/commit/05e45e92cf7c3babae7efe2ca86f91136c48595a,android,8,11,0ee46bbe5,7ecc58095,05e45e92c,2015-05-29T23:25:32Z,103,3271,1,3270,5148.743363,1062.5,4498.256637,433.5,11,5,6,Java,75113,29,1258
39,https://github.com/automattic/simplenote-android/commit/bab4f734206577f1f4218d480cca573382cbd12c,android,1,133,b059fbb,dee291b,bab4f73,2013-07-16T08:32:41Z,0,45,0,45,179.0650155,0,124.4582043,0,343,170,173,Java,4358,7,296
40,https://github.com/osmandapp/Osmand/commit/6d9567fd98b13ad75ce85e88854135003ec296a5,android,404,1323,2175ad0c17,05bbe94580,6d9567fd98,2015-07-07T12:04:37Z,0,1444,16,1428,6912.572727,4197,4752,2108,104,24,80,Java,277013,56,1899
41,https://github.com/ccrama/Slide/commit/5b35e8da2e4721056283242b81a5416ed12c23e2,android,0,29,1f269187,eeb147a2,5b35e8da,2016-03-22T23:29:27Z,33,1224,3,1221,1256.677596,69,778.0546448,35,134,23,111,Java,62462,37,177
42,https://github.com/k9mail/k-9//commit/6d86fb3b16f9911d7bb7d17a1655059a2d30d2c7,android,774,774,821a00e72,821a00e72,6d86fb3b1,2013-07-19T00:24:59Z,290,339,0,339,2885.826625,364,2758.421053,174,1,1,0,Java,107320,7,1727
43,https://github.com/wordpress-mobile/WordPress-Android/commit/12c53f0ffb0a7f314d90800b9c4ea35e43b6f43d,android,0,102,dbf7750a8f,becc989a43,12c53f0ffb,2013-12-30T22:43:29Z,25,600,2,598,5603.913043,3466,4686.822742,2442,75,42,33,Java,69559,40,1576
44,https://github.com/wordpress-mobile/WordPress-Android/commit/963357343d7157552e4e58bf1a955d7f8a78df97,android,96,426,bb99d3ccab,13ddc9876e,963357343d,2015-05-10T14:26:52Z,73,2654,2,2652,5411.302632,3433,4413.701754,2290.5,28,15,13,Java,127357,67,2072
45,https://github.com/kontalk/androidclient/commit/8bfc4d7aa88b62ea67835e314455f4ee95beb868,android,76,425,59cdfdf27,eeac507bf,8bfc4d7aa,2012-07-30T12:24:32Z,12,0,0,0,880.1179625,248,679.8150134,90,145,75,70,Java,25793,3,435
46,https://github.com/Antox/Antox/commit/3d5b158cc5c3f5b7e0f4d6527cdf86877134bf56,android,0,163,253d8b43,ffc0f960,3d5b158c,2014-08-10T09:27:59Z,4,0,0,0,342.1348315,0,267.411985,0,104,50,54,Scala,8924,46,196
47,https://github.com/QuantumBadger/RedReader/commit/a56f486cc2f597ea809b7c390d8d71ecbf65a3f9,android,21,912,fbe2668,4265f68,a56f486,2015-10-04T11:42:24Z,43,240,56,184,216.9033816,3,88.74396135,0,65,43,22,Java,26825,17,917
48,https://github.com/BennyKok/OpenLauncher/commit/0ab48bfe8fdd4d1baba6ceba4e760753fbb0bba4,android,23,77,8d5054e4,2cbab61b,0ab48bfe,2016-10-19T15:24:46Z,0,3,0,3,1039.673203,61,961.2875817,18,783,363,420,Java,10569,3,80
49,https://github.com/k9mail/k-9//commit/f2fa5ae2f6cf198e74507885d114c903e5f052dc,android,24,182,5491dee81,ee4ac0778,f2fa5ae2f,2009-05-03T04:39:13Z,0,0,0,0,2545.723247,483,2294.345018,234,98,42,56,Java,38374,7,189
50,https://github.com/kontalk/androidclient/commit/635fe11ccb7acfe6e780481808eb4997e4aaa35f,android,0,180,ba4b79cb5,f126f17bb,635fe11cc,2011-12-02T11:25:41Z,4,0,0,0,874.8578431,257,657.6029412,92.5,82,34,48,Java,15283,3,194
51,https://github.com/QuantumBadger/RedReader/commit/e457e9e1818f51ecfab56ce0dba03108d15c68b0,android,498,498,fbe2668,d00dc4c,e457e9e,2014-08-17T08:40:11Z,35,160,41,119,247.9887218,6.5,120.5902256,1,9,7,2,Java,21399,17,504
52,https://github.com/osmandapp/Osmand/commit/59c8b5d39cf2c0361d6f688d75e19f2786a4cbae,android,118,118,6005c0a546,6005c0a546,59c8b5d39c,2012-11-10T21:01:04Z,0,347,0,347,6751.415042,3548,5516.292479,1844,8,3,5,Java,278748,56,930
53,https://github.com/kontalk/androidclient/commit/2904c2f13a76868c29f78333107199fb5919e3b4,android,5,257,16bb8b14b,c05c0b37e,2904c2f13,2016-04-22T20:11:19Z,64,689,80,609,476.0223464,119,236.5698324,47,14,4,10,Java,41237,5,1797
54,https://github.com/ukanth/afwall/commit/b4dd05d798067d340aba71830ff6eea5fae37636,android,577,577,0f7228d8,0f7228d8,b4dd05d7,2015-07-17T04:36:36Z,28,384,26,358,474.7077626,19,335.6803653,10,4,1,3,Java,32525,11,999
55,https://github.com/anthonycr/Lightning-Browser/commit/8132b34bbf67cf224f254dfb313ee621a52997b4,android,14,14,c9323cc7,c9323cc7,8132b34b,2016-02-25T00:18:05Z,7,377,103,274,881.6363636,76,839.1871658,17,9,2,7,Kotlin,19231,55,1110
56,https://github.com/tasks/tasks/commit/4e8501792157b9092f884042041cbd3051d47e7e,android,10,95,3d02188f7,c5124268e,4e8501792,2012-05-22T18:35:13Z,52,0,0,0,2990.112272,309,4083.597911,229,65,6,59,Java,336280,25,1248
57,https://github.com/jackpal/Android-Terminal-Emulator/commit/86b70e1a9ae87db2b483e1461d48407e96aebf35,android,8,8,30e3995,30e3995,86b70e1,2011-10-10T00:09:57Z,1,5,0,5,185.2987952,0,141.2433735,0,10,5,5,Java,5955,5,407
58,https://github.com/k9mail/k-9//commit/a1302afe75242fe2d1dee1a87f7688b02b1f641e,android,20,408,5491dee81,9cac2cd5b,a1302afe7,2009-12-15T02:52:01Z,8,0,0,0,2559.019608,493,2319.1,256,27,4,23,Java,49605,7,415
59,https://github.com/osmandapp/Osmand/commit/42483aad802759b5de97c5501afa74773dae84d4,android,0,48,bb65b7222f,979e5d85a9,42483aad80,2010-10-29T14:58:14Z,0,0,0,0,7230.150538,3430,5682.71828,1869,54,17,37,Java,71394,7,187
60,https://github.com/federicoiosue/Omni-Notes/commit/ac369d4a11389b85ca5d20403aa43e47979a0070,android,266,1093,37b53c9e,b1102876,ac369d4a,2017-02-21T09:22:57Z,106,329,55,274,165.962963,2,116.2444444,1,90,51,39,Java,32494,1,1213
61,https://github.com/DrKLO/Telegram/commit/d29eabd16359a4433c37216ea251a7f8fb3c398a,android,10,250,4622ba91,91f20737,d29eabd1,2014-07-02T22:39:05Z,0,147,7,140,8441.479853,0,3826.886447,0,7960,3486,4474,Java,219933,6,255
62,https://github.com/tasks/tasks/commit/b614a5af3c725a9c225eeb8aa828d5ee2263ae79,android,51,723,94a57ce75,cf488a976,b614a5af3,2013-01-21T21:31:57Z,73,0,0,0,2769.818966,235,4119.528736,158,215,114,101,Java,368334,25,1492
63,https://github.com/wordpress-mobile/WordPress-Android/commit/ddcd63c50468849ea09e72430aaf437cdf549186,android,0,443,6eb4659c85,ae5e829bb3,ddcd63c504,2015-10-02T11:12:59Z,87,3293,2,3291,5618.918269,3605,4557.110577,2347.5,124,46,78,Java,131611,68,2217
64,https://github.com/k9mail/k-9//commit/97a4f97b648bfc2d096c3daecd3877bc07059f83,android,63,188,5491dee81,4.52E+274,97a4f97b6,2009-05-09T15:22:36Z,0,0,0,0,2545.723247,483,2294.345018,234,34,14,20,Java,38448,7,195
65,https://github.com/federicoiosue/Omni-Notes/commit/9dd03fba58e9d577258ecbf37016228a9802824e,android,37,421,b9676624,4d175b02,9dd03fba,2015-05-29T00:00:37Z,69,171,18,153,229.7035398,14.5,170.9867257,7,130,57,73,Java,28899,1,579
66,https://github.com/federicoiosue/Omni-Notes/commit/448ad10b5b61445f1f413a88d13759321385c27a,android,0,6,72fd97c8,55285a8d,448ad10b,2013-11-15T13:47:17Z,3,0,0,0,947.3202614,80.5,755.8823529,49.5,89,36,53,Java,2407,1,19
67,https://github.com/wordpress-mobile/WordPress-Android/commit/941cb8acbf0da21779812e67583e76fa351ad3f6,android,0,327,48a5f18a26,5d89decf88,941cb8acbf,2014-01-29T14:29:54Z,28,763,2,761,5596.044068,3447,4682.715254,2438,37,16,21,Java,64037,42,1606
68,https://github.com/kontalk/androidclient/commit/878a320e5c768b88e8616ef51008fae487b34c69,android,236,436,0daa73d73,417d43f83,878a320e5,2015-10-11T20:49:39Z,56,566,65,501,494.907767,168.5,244.3737864,60,11,3,8,Java,36098,5,1603
69,https://github.com/k9mail/k-9//commit/b7a846492a103590e55f7b11c01c2732e261fb44,android,6,6,909f677f9,909f677f9,b7a846492,2009-06-08T00:41:29Z,0,0,0,0,2553.942272,481,2307.6946,235,31,19,12,Java,39849,7,225
70,https://github.com/wordpress-mobile/WordPress-Android/commit/a8c33b6f65c150ec2f6beca3b412e61eac023029,android,11,550,ea0544be80,f91b70da11,a8c33b6f65,2015-04-14T17:01:03Z,72,2527,2,2525,5393.711207,3433,4376.387931,2297.5,18,10,8,Java,123838,66,2046
71,https://github.com/antennapod/AntennaPod/commit/af30f4f9d29de2857e2a4973f206600a03311208,android,18,1256,5001182a,2197e9b7,af30f4f9,2015-11-25T20:15:34Z,61,1416,55,1361,637.45,84,554.295,38,19,13,6,Java,62137,51,1438
72,https://github.com/MirakelX/mirakel-android/commit/ad5370672e8c7f548e4212f1d215e9fe8439d584,android,0,2,f361b1d6,f2388149,ad537067,2014-08-08T16:22:08Z,33,515,26,489,581.7686567,0,595.2798507,0,268,23,245,Java,1848,4,1580
73,https://github.com/ccrama/Slide/commit/cfafc1681d3b47d1b3ad379fd9c49102d3f8da5d,android,0,139,6a299f68,b035cb91,cfafc168,2016-04-28T17:34:06Z,64,1608,3,1605,1059.219101,65,620.3876404,25,80,36,44,Java,72911,44,214
74,https://github.com/k9mail/k-9//commit/91ad70cd5d646fea8cdd47a334d9533c044779a9,android,23,327,cf359c95a,9cac2cd5b,91ad70cd5,2009-12-18T03:48:24Z,12,0,0,0,2559.019608,493,2319.1,256,13,13,0,Java,49490,7,418
75,https://github.com/siacs/Conversations/commit/c296d6f4466e2616432660bb01465f3746e1bb65,android,43,654,ea766d97,f0b1761e,c296d6f4,2016-01-11T10:17:45Z,84,1643,53,1590,722.746114,378,470.5647668,141,603,242,361,Java,49080,34,722
76,https://github.com/wordpress-mobile/WordPress-Android/commit/293dc61fde1ade0884ad460df3074fd5bc2e92e9,android,88,88,dbf7750a8f,dbf7750a8f,293dc61fde,2013-12-17T00:25:47Z,24,507,2,505,5648.495017,3466,4761.172757,2442,23,3,20,Java,68767,39,1563
77,https://github.com/osmandapp/Osmand/commit/4474c9421a4ea271bec4c88e82a91025e474404b,android,1,4,109ca692f1,778a243cdf,4474c9421a,2016-04-02T07:51:20Z,0,2407,53,2354,7083.335165,4117.5,4659.17033,2048.5,213,125,88,Java,322180,56,2169
78,https://github.com/xsoh/Etar-Calendar/commit/56626e2ef86a471f57af8abe713d36e4c7903294,android,1074,1074,0558defd,0558defd,56626e2e,2017-01-28T18:27:23Z,12,0,0,0,53.77697842,0,42.98561151,0,16,2,14,Java,63058,52,3023
79,https://github.com/osmandapp/Osmand/commit/b652687d3740387842f0daa5c5993defe7887161,android,90,90,60dc64bbd4,60dc64bbd4,b652687d37,2016-10-26T19:29:07Z,0,3207,148,3059,7152.335526,4227.5,5067.730263,2085.5,2,1,1,Java,407181,56,2376
80,https://github.com/ukanth/afwall/commit/1884579c3ecea7abf49c4e76a785dcbb04e83a55,android,47,129,af957672,166c1ee0,1884579c,2013-07-09T04:36:01Z,16,166,6,160,679.7438272,23.5,737.8858025,11,168,55,113,Java,66461,7,261
81,https://github.com/tomahawk-player/tomahawk-android/commit/09855d0b0eb4fe7fedc487445f0acf254be4249b,android,0,2,bc5f99b4,c793cc3f,09855d0b,2012-07-24T00:14:27Z,0,0,0,0,846.4037433,13,666.3823529,0,72,28,44,Java,2006,3,16
82,https://github.com/k9mail/k-9//commit/7cb6fa102f1e21b7161ccd67c66b7188c9afba56,android,10,521,d678ccc16,e102a1d47,7cb6fa102,2016-07-06T19:48:38Z,335,1486,156,1330,3561.988095,391,3329.005952,172.5,11,4,7,Java,123589,7,2810
83,https://github.com/ukanth/afwall/commit/5dcf978279660cd58a4071614cb319961a744c67,android,1,14,b091f7ac,79f6b895,5dcf9782,2016-07-21T02:35:42Z,39,550,59,491,495.2710843,11,307.0481928,5.5,48,9,39,Java,31534,11,1369
84,https://github.com/k9mail/k-9//commit/647dc827d892b260ec2e3ceee7c9c4a1d51bfcca,android,14,197,909f677f9,2c1dad555,647dc827d,2009-12-15T02:51:25Z,8,0,0,0,2559.019608,493,2319.1,256,207,121,86,Java,49576,7,415
